DATAFLOW,LAST UPDATE,freq,n_head,agrarea,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_LIVESTOCK_HOLD,ES,2013,180,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_LIVESTOCK_HOLD,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,HOLD_HOLD,ES,2013,180,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,HOLD_HOLD,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1000_HEADS,ES,2013,205820,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1000_HEADS,IE,2013,10130,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1_1000_HEADS,ES,2013,124630,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1_1000_HEADS,IE,2013,7130,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1_HOLD,ES,2013,26210,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1_HOLD,IE,2013,470,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_2_1000_HEADS,ES,2013,58130,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_2_1000_HEADS,IE,2013,2530,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_2_HOLD,ES,2013,73280,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_2_HOLD,IE,2013,7330,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_HOLD,ES,2013,78650,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_HOLD,IE,2013,8080,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_LIVESTOCK_HOLD,ES,2013,217150,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_LIVESTOCK_HOLD,IE,2013,128310,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,HOLD_HOLD,ES,2013,965000,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,HOLD_HOLD,IE,2013,139600,
