Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","1994","1994","7021","Annual value","","60.79","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","1995","1995","7021","Annual value","","65.61","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","1996","1996","7021","Annual value","","53.17","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","1997","1997","7021","Annual value","","59.47","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","1998","1998","7021","Annual value","","68.88","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","1999","1999","7021","Annual value","","62.55","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2000","2000","7021","Annual value","","51.37","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2001","2001","7021","Annual value","","75.21","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2002","2002","7021","Annual value","","76.79","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2003","2003","7021","Annual value","","63.85","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2004","2004","7021","Annual value","","65.61","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2005","2005","7021","Annual value","","74.44","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2006","2006","7021","Annual value","","65.05","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2007","2007","7021","Annual value","","116.02","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2008","2008","7021","Annual value","","113.9","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2009","2009","7021","Annual value","","66.26","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2010","2010","7021","Annual value","","107.51","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2011","2011","7021","Annual value","","111.84","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2012","2012","7021","Annual value","","147.23","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2013","2013","7021","Annual value","","99.95","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2014","2014","7021","Annual value","","90.33","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2015","2015","7021","Annual value","","107.22","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2016","2016","7021","Annual value","","102.45","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2017","2017","7021","Annual value","","96.89","I","Imputed value"
"PP","Producer Prices","724","Spain","5539","Producer Price Index (2014-2016 = 100)","01445","Sunflower seed","2018","2018","7021","Annual value","","90.12","I","Imputed value"
