Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","724","Spain","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","79.01954","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","79.40636","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","79.76241","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","79.7734","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","80.12506","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","80.35583","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","80.38001","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","80.40418","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","80.70639","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","80.92838","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","81.48993","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","81.33498","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","81.66795","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","82.20094","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","82.28445","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","82.29105","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","82.11632","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","82.41852","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","82.59435","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","82.7438","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","83.24271","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","84.30099","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","85.09441","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","84.85704","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","84.89221","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","85.05485","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","85.23837","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","85.69443","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","86.04388","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","86.18125","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","86.42192","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","86.37137","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","86.51862","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","86.97797","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","87.11754","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","724","Spain","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","86.97578","X","Figure from international organizations","base year is 2015"
